Air_temperature_K,Process_temperature_K,Rotational_speed_rpm,Torque_Nm,Air_temperature_K_rolling_mean,Air_temperature_K_rolling_std,Air_temperature_K_rolling_min,Air_temperature_K_rolling_max,Air_temperature_K_change,Process_temperature_K_rolling_mean,Process_temperature_K_rolling_std,Process_temperature_K_rolling_min,Process_temperature_K_rolling_max,Process_temperature_K_change,Rotational_speed_rpm_rolling_mean,Rotational_speed_rpm_rolling_std,Rotational_speed_rpm_rolling_min,Rotational_speed_rpm_rolling_max,Rotational_speed_rpm_change,Torque_Nm_rolling_mean,Torque_Nm_rolling_std,Torque_Nm_rolling_min,Torque_Nm_rolling_max,Torque_Nm_change,temperature_difference,power_consumption,load_signal,ambient_temperature,load_density,humidity,maintenance_due,shift_Morning,shift_Night,ambient_difference,load_stress,load_density_interaction,temperature_humidity_interaction,torque_speed_ratio,maintenance_load_interaction,rpm_std_10,torque_std_10,load_density_mean_10,Type_L,Type_M,Machine_Status_Code
296.7,308.0,1580.0,32.2,296.77000000000004,0.0674948557721072,296.7,296.9,0.0,307.92999999999995,0.094868329805041,307.8,308.0,0.1999999999999886,1433.9,79.67217554175124,1311.0,1580.0,198.0,46.16,7.7934730526397455,32.2,58.6,-15.299999999999995,11.300000000000011,5327.722261467811,50876.00000000001,296.7,0.322,74.70813544188047,0.0,0.0,0.0,0.0,50876.00000000001,10.3684,23010.105716099184,0.0203797468354301,0.0,79.67217554175124,7.7934730526397455,0.4615999999999999,1.0,0.0,0
301.0,310.5,1379.0,57.3,300.84000000000003,0.0966091783303535,300.7,301.0,0.0,310.28000000000003,0.1475729575053634,310.1,310.5,0.0,1495.4,81.83207738342942,1379.0,1615.0,-29.0,43.53,9.971409128102138,30.9,61.2,10.299999999999995,9.5,8274.609474363619,79016.7,301.0,0.573,84.81210493085104,0.0,0.0,0.0,0.0,79016.7,32.832899999999995,26334.158581029245,0.0415518491660322,0.0,81.83207738342942,9.971409128102138,0.4352999999999999,1.0,0.0,2
301.8,309.6,1432.0,43.7,301.82,0.0788810637755321,301.7,301.9,-0.0999999999999659,309.76,0.0843274042850426,309.6,309.9,-0.0999999999999659,1516.3,120.65658337243916,1284.0,1724.0,-136.0,41.38,11.873481189421902,27.5,68.2,6.200000000000003,7.800000000000011,6553.194723780118,62578.4,301.8,0.437,57.82558783608951,0.0,0.0,0.0,0.0,62578.4,19.0969,17902.801994053312,0.030516759776515,0.0,120.65658337243916,11.873481189421902,0.4138,1.0,0.0,0
300.8,310.8,1460.0,53.8,300.59,0.1523883926919499,300.4,300.8,0.0,310.57,0.1494434118437787,310.4,310.8,0.0,1589.1,385.0426960452265,1298.0,2633.0,-281.0,40.82000000000001,13.847647212914271,12.2,61.4,26.7,10.0,8225.527325139035,78548.0,300.8,0.5379999999999999,49.27288601435754,0.0,0.0,0.0,0.0,78548.0,28.944399999999995,15314.012973262325,0.0368493150684679,0.0,385.0426960452265,13.847647212914271,0.4082,1.0,0.0,0
299.8,311.2,1369.0,46.2,299.92,0.1135292424648775,299.8,300.1,0.0,311.35,0.1269295518062264,311.2,311.5,0.0,1726.4,292.2838042420745,1369.0,2218.0,-773.0,30.68,10.088254997218147,16.6,46.2,29.6,11.399999999999975,6623.294127857219,63247.8,299.8,0.462,46.49347956011272,0.0,0.0,0.0,0.0,63247.8,21.344400000000004,14468.770839107076,0.0337472607742631,0.0,292.2838042420745,10.088254997218147,0.3067999999999999,1.0,0.0,0
300.6,311.6,1630.0,31.8,300.65,0.0849836585826401,300.5,300.8,-0.0999999999999659,311.59,0.1100504935100011,311.4,311.7,-0.0999999999999659,1504.1,176.84484725317583,1282.0,1864.0,-234.0,41.96,12.409781088587524,23.6,62.5,8.2,11.0,5428.043786872445,51834.0,300.6,0.318,55.86707366331629,0.0,1.0,0.0,0.0,51834.0,10.1124,17408.180153489357,0.0195092024539757,0.0,176.84484725317583,12.409781088587524,0.4196,0.0,1.0,1
301.9,310.6,1573.0,36.6,302.16,0.1429840705973698,301.9,302.3,-0.2000000000000454,310.76,0.1074967700041725,310.6,310.9,-0.0999999999999659,1551.2,147.4628390099963,1314.0,1723.0,108.0,39.03,11.21269617690394,26.3,60.5,-4.100000000000001,8.700000000000045,6028.904797798029,57571.8,301.9,0.366,54.43975594807013,1.0,0.0,0.0,0.0,57571.8,13.3956,16908.988197470582,0.0232676414494448,0.366,147.4628390099963,11.21269617690394,0.3903,1.0,0.0,0
299.9,311.3,1413.0,41.8,299.87,0.0823272602706558,299.8,300.0,0.0,311.29,0.099442892654524,311.2,311.5,0.0,1683.5,245.3316349578844,1369.0,2142.0,-389.0,31.420000000000005,9.531561606928536,16.6,46.2,17.4,11.400000000000034,6185.104784534513,59063.4,299.9,0.418,68.83832706198203,0.0,0.0,0.0,0.0,59063.4,17.472399999999997,21429.371214395007,0.029582448690708,0.0,245.3316349578844,9.531561606928536,0.3141999999999999,0.0,0.0,1
302.2,311.5,1346.0,52.4,302.31,0.0567646212228644,302.2,302.4,-0.1000000000000227,311.67,0.0948683298473607,311.5,311.8,-0.1999999999999886,1524.6,127.45561318879604,1346.0,1701.0,-103.0,40.0,7.719383970815871,27.5,52.4,7.899999999999999,9.300000000000011,7385.926216491652,70530.4,302.2,0.524,83.61299008708554,0.0,0.0,0.0,0.0,70530.4,27.4576,26045.446412127145,0.0389301634472221,0.0,127.45561318879604,7.719383970815871,0.4,1.0,0.0,1
301.5,310.7,1466.0,47.3,301.48,0.122927259432811,301.3,301.7,0.0,310.71,0.0994428926302229,310.6,310.9,0.0,1475.6,104.386248562192,1290.0,1674.0,-133.0,44.93,9.110927504925074,33.6,65.3,6.899999999999999,9.199999999999989,7261.456315556423,69341.8,301.5,0.473,51.51788443495305,0.0,0.0,1.0,0.0,69341.8,22.3729,16006.606693939912,0.0322646657571403,0.0,104.386248562192,9.110927504925074,0.4492999999999999,1.0,0.0,0
